  19
 14.0000
   1   0   0
   2   0   2
   3   1   0
   4   1   2
   5   2   0
   6   2   2
   7   3   0
   8   3   2
   9   4   0
  10   4   2
  11   5   0
  12   5   2
  13   6   0
  14   6   2
  15   7   0
  16   7   2
  17   8   0
  18   8   2
  19   9   0
      -0.24260      -4.53423       0.05694      -4.71322      -4.99600      -3.39348      -2.06698      -1.80391      -0.40737      -0.65678       0.16037      -0.10200       0.16758       0.04654       0.05133       0.03250      -0.00879       0.00215      -0.01209
      -4.53423      25.85883      -2.02906      14.46283      -0.63341       1.07124      -0.04465       0.70315       0.09361       0.37980       0.05660       0.15532       0.00401       0.03547      -0.01411      -0.00696      -0.00878      -0.01011      -0.00095
       0.05694      -2.02906      15.97979      -3.58474       9.40176      -3.69046      -3.40801      -2.72182      -1.17604      -1.47005      -0.00797      -0.52404       0.29391      -0.05753       0.19286       0.05935       0.04826       0.03458      -0.01251
      -4.71322      14.46283      -3.58474      40.57703      -1.71016      23.09024      -0.50228       1.65832      -0.00236       1.06632       0.07834       0.53466       0.02215       0.17923      -0.01942       0.01020      -0.01949      -0.03127      -0.00499
      -4.99600      -0.63341       9.40176      -1.71016      32.69063      -2.70308      18.61045      -2.83192      -1.98551      -2.14041      -0.40248      -1.15250       0.33447      -0.36967       0.40607       0.01292       0.21014       0.08629       0.04144
      -3.39348       1.07124      -3.69046      23.09024      -2.70308      55.19556      -1.35822      31.04916      -0.44883       2.01334      -0.06719       1.21987       0.00238       0.53336      -0.01713       0.11028      -0.02117      -0.05349      -0.00567
      -2.06698      -0.04465      -3.40801      -0.50228      18.61045      -1.35822      48.84520      -2.14283      27.36916      -2.26609      -0.78880      -1.68906       0.28769      -0.83495       0.64935      -0.16917       0.50055       0.11659       0.21261
      -1.80391       0.70315      -2.72182       1.65832      -2.83192      31.04916      -2.14283      69.59771      -1.18859      38.55763      -0.49077       2.07976      -0.15187       1.12724      -0.03751       0.36611      -0.00225      -0.03670       0.01617
      -0.40737       0.09361      -1.17604      -0.00236      -1.98551      -0.44883      27.36916      -1.18859      64.62115      -1.79759      35.90282      -1.81070       0.30601      -1.22230       0.92087      -0.44514       0.91518       0.08595       0.55547
      -0.65678       0.37980      -1.47005       1.06632      -2.14041       2.01334      -2.26609      38.55763      -1.79759      83.67503      -1.07701      45.61576      -0.47973       1.80230      -0.12666       0.78077       0.03537       0.07184       0.08743
       0.16037       0.05660      -0.00797       0.07834      -0.40248      -0.06719      -0.78880      -0.49077      35.90282      -1.07701      80.23141      -1.44691      44.31271      -1.27005       1.29235      -0.63682       1.44711       0.02561       1.09406
      -0.10200       0.15532      -0.52404       0.53466      -1.15250       1.21987      -1.68906       2.07976      -1.81070      45.61576      -1.44691      97.33336      -0.83236      52.21006      -0.27043       1.20553       0.08666       0.27713       0.23013
       0.16758       0.00401       0.29391       0.02215       0.33447       0.00238       0.28769      -0.15187       0.30601      -0.47973      44.31271      -0.83236      95.69384      -0.91036      52.54276      -0.54632       2.08871       0.05794       1.81198
       0.04654       0.03547      -0.05753       0.17923      -0.36967       0.53336      -0.83495       1.12724      -1.22230       1.80230      -1.27005      52.21006      -0.91036     110.57695      -0.33342      58.46131       0.18015       0.48202       0.45515
       0.05133      -0.01411       0.19286      -0.01942       0.40607      -0.01713       0.64935      -0.03751       0.92087      -0.12666       1.29235      -0.27043      52.54276      -0.33342     110.91020      -0.14193      60.49199       0.30087       2.63204
       0.03250      -0.00696       0.05935       0.01020       0.01292       0.11028      -0.16917       0.36611      -0.44514       0.78077      -0.63682       1.20553      -0.54632      58.46131      -0.14193     123.61908       0.38433      64.68286       0.76236
      -0.00879      -0.00878       0.04826      -0.01949       0.21014      -0.02117       0.50055      -0.00225       0.91518       0.03537       1.44711       0.08666       2.08871       0.18015      60.49199       0.38433     125.78759       0.72430      68.10831
       0.00215      -0.01011       0.03458      -0.03127       0.08629      -0.05349       0.11659      -0.03670       0.08595       0.07184       0.02561       0.27713       0.05794       0.48202       0.30087      64.68286       0.72430     136.83208       1.12353
      -0.01209      -0.00095      -0.01251      -0.00499       0.04144      -0.00567       0.21261       0.01617       0.55547       0.08743       1.09406       0.23013       1.81198       0.45515       2.63204       0.76236      68.10831       1.12353     140.30513
